MJD,x,y,z,xv,yv,zv,lat,lon,alt,kinetic_energy,monopole,U_j2,U_non_spherical,HOT_total_diff,HOT_plus_total_diff
60068.91645833333,-2183936.0093237855,84467.57286191895,-6512115.047154804,7178.394872173784,-704.1859576112615,-2426.1885619033264,-71.57615434661905,-14.38994886609426,13221632.135939812,28955810.870829154,58028156.08881629,46048.46724331004,46114.71710511262,0.0,0.0
60068.91680555556,-1967421.1779754465,63299.33439471712,-6581291.559726994,7254.599223101525,-706.9003860516672,-2185.1646630735377,-73.4770296216088,-14.14280389661055,13221499.85220297,28951931.324185267,58025820.90402943,47586.42840581547,47662.82491600932,-3.7459538727998734,-3.7459538727998734
60068.91715277778,-1748740.1195326897,42061.33744145697,-6643201.397780857,7322.797476198476,-708.8361291926333,-1941.7879456512085,-75.37687556865434,-13.80187891083483,13221409.979483515,28948175.980671953,58023463.47541759,48973.42069222846,49059.59424928155,-2.600385669618845,-2.600385669618845
60068.9175,-1528134.0980342466,20776.972287097946,-6697777.979597374,7382.919149142795,-709.9913764176447,-1696.3256232924018,-77.27532552566261,-13.325236296363224,13221364.042446237,28944551.768802572,58021084.87360048,50203.39942126668,50298.85532237669,3.748593509197235,3.748593509197235
60068.91784722222,-1305846.3541948125,-530.3312699542148,-6744962.769031523,7434.902773661975,-710.3652186722098,-1449.0467507900687,-79.17175401302056,-12.641662942687496,13221363.364375843,28941067.241840504,58018686.29781055,51271.01796824688,51375.14156865857,13.413519360125065,13.413519360125065
60068.91819444444,-1082121.8412357538,-21837.12639737429,-6784705.322105484,7478.695681068172,-709.957607873268,-1200.221682892107,-81.06500271524006,-11.619852661347428,13221409.05406534,28937730.491544615,58016269.12875025,52171.65058769916,52283.83154334107,24.304780267179012,24.304780267179012
60068.918541666666,-857206.9651258612,-43119.979497277935,-6816963.322591576,7514.253730603136,-708.7692789960272,-950.1219486929931,-82.95266776495384,-9.988623648183152,13221501.991833292,28934547.368059937,58013834.99651806,52901.41205701682,53021.38275540918,35.744820687919855,35.744820687919855
60068.91888888889,-631349.3249271195,-64355.490940126045,-6841702.618595413,7541.541331144251,-706.8017980617507,-699.0202438814134,-84.82884189426481,-7.086362287585893,13221642.825062405,28931521.86622818,58011385.77605148,53457.173852248,53585.91357061216,47.4953706599772,47.4953706599772
60068.91923611111,-404797.4603597706,-85520.32023021787,-6858897.255122541,7560.531637567529,-704.0575862109096,-447.19028188077704,-86.67433928158627,-0.7986769647751413,13221831.968793672,28928657.43778465,58008923.54810644,53836.57685755672,53979.73163995731,55.877799805253744,55.877799805253744
60068.919583333336,-177800.5821478304,-106591.20997009064,-6868529.496683887,7571.206719177627,-700.5398237041137,-194.9063802298003,-88.38127135920368,19.9522738648251,13222069.603025015,28925957.86308506,58006450.59635476,54038.04081138485,54226.901928312844,35.330459360033274,35.330459360033274
60068.91993055555,49391.69637084961,-127545.01276912016,-6870589.843898254,7573.557450243757,-696.2524241565333,57.55694106352421,-88.80848685847597,103.57329278203774,13222355.674408725,28923426.345875572,58003969.3759605,54060.770200501385,54172.82134611668,139.707856785506,139.707856785506
60068.920277777775,276529.61471312935,-148358.7064613119,-6865077.0320660435,7567.58344632314,-691.2001358875157,309.9250984681094,-87.2693589839826,139.56012220276952,13222689.889223013,28921065.2057877,58001482.5644549,53904.756921906366,53871.93688878324,314.92089638859034,314.92089638859034
60068.920625,503363.5365039299,-169009.42785706394,-6851998.033778017,7553.293159422741,-685.3885961576755,561.9236509177373,-85.447135677204,148.31556975073764,13223071.719273858,28918876.63469304,57998993.01212101,53570.77920837189,53508.46460967088,377.4119362682104,377.4119362682104
